node_id,vehicle_serial,date,time,POI,service,interval
2050,PA33K,2017-09-5,2017-09-5T7:26:50.000Z,Central Library,D1,5.0
2079,PC3849T,2017-09-5,2017-09-5T7:26:55.000Z,UHall,D2,5.0
2043,PC4038K,2017-09-5,2017-09-5T7:27:00.000Z,Opp Kent Ridge MRT,D2,5.33
2032,PC3876P,2017-09-5,2017-09-5T7:27:05.000Z,Central Library,B1,14.0
2050,PA33K,2017-09-5,2017-09-5T7:27:07.000Z,Computer Centre,D1,1.93
2079,PC3849T,2017-09-5,2017-09-5T7:27:08.000Z,University Health Centre,D2,5.0
2129,PC3867R,2017-09-5,2017-09-5T7:27:09.000Z,Computer Centre,A2,3.0
2028,PA9442D,2017-09-5,2017-09-5T7:27:19.000Z,UHall,C*,17.52
2079,PC3849T,2017-09-5,2017-09-5T7:27:28.000Z,Opp University Health Centre,D2,3.28
2028,PA9442D,2017-09-5,2017-09-5T7:27:35.000Z,Opp UHall,C*,18.0
2027,PC3972U,2017-09-5,2017-09-5T7:27:42.000Z,Opp HSSML,D1,5.0
2050,PA33K,2017-09-5,2017-09-5T7:27:45.000Z,Opp YIH,D1,0.0
2038,PC3940L,2017-09-5,2017-09-5T7:28:01.000Z,COM 2 (CP13),A1,1.0
2129,PC3867R,2017-09-5,2017-09-5T7:28:02.000Z,Opp NUSS,A2,4.0
2032,PC3876P,2017-09-5,2017-09-5T7:28:04.000Z,LT13,B1,21.0
2027,PC3972U,2017-09-5,2017-09-5T7:28:08.000Z,COM 2 (CP13),D1,1.0
2028,PA9442D,2017-09-5,2017-09-5T7:28:11.000Z,LT29,C*,19.0
2050,PA33K,2017-09-5,2017-09-5T7:28:13.000Z,YIH,D1,2.0
2032,PC3876P,2017-09-5,2017-09-5T7:28:28.000Z,AS7,B1,21.72
2079,PC3849T,2017-09-5,2017-09-5T7:28:28.000Z,Museum,D2,0.0
2052,PC4032B,2017-09-5,2017-09-5T7:28:36.000Z,PGPR,A2,10.0
2027,PC3972U,2017-09-5,2017-09-5T7:28:40.000Z,Opp NUSS,D1,0.0
2050,PA33K,2017-09-5,2017-09-5T7:28:40.000Z,Opp YIH,D1,3.45
2050,PA33K,2017-09-5,2017-09-5T7:28:46.000Z,Museum,D1,0.15
2079,PC3849T,2017-09-5,2017-09-5T7:28:53.000Z,Museum,D2,0.0
2028,PA9442D,2017-09-5,2017-09-5T7:29:01.000Z,S17,C*,20.93
2027,PC3972U,2017-09-5,2017-09-5T7:29:05.000Z,AS7,D1,1.0
2050,PA33K,2017-09-5,2017-09-5T7:29:07.000Z,Museum,D1,0.4
2129,PC3867R,2017-09-5,2017-09-5T7:29:17.000Z,Ventus (Opp LT13),A2,5.88
2027,PC3972U,2017-09-5,2017-09-5T7:29:18.000Z,Opp NUSS,D1,0.72
2038,PC3940L,2017-09-5,2017-09-5T7:29:38.000Z,AS7,A1,17.43
2027,PC3972U,2017-09-5,2017-09-5T7:29:40.000Z,Computer Centre,D1,3.0
2042,PC3738E,2017-09-5,2017-09-5T7:29:40.000Z,Prince George's Park Terminal,A2,5.0
2043,PC4038K,2017-09-5,2017-09-5T7:29:42.000Z,S17,D2,0.0
2027,PC3972U,2017-09-5,2017-09-5T7:29:43.000Z,COM 2 (CP13),D1,3.0
2032,PC3876P,2017-09-5,2017-09-5T7:29:44.000Z,BIZ2,B1,22.0
2079,PC3849T,2017-09-5,2017-09-5T7:29:47.000Z,University Town,D2,0.0
2079,PC3849T,2017-09-5,2017-09-5T7:29:56.000Z,Museum,D2,1.0
2050,PA33K,2017-09-5,2017-09-5T7:30:05.000Z,University Town,D1,0.0
2038,PC3940L,2017-09-5,2017-09-5T7:30:10.000Z,COM 2 (CP13),A1,17.7
2050,PA33K,2017-09-5,2017-09-5T7:30:16.000Z,Museum,D1,1.9
2023,PC3983M,2017-09-5,2017-09-5T7:30:20.000Z,Museum,BTC1,38.77
2027,PC3972U,2017-09-5,2017-09-5T7:30:22.000Z,Opp NUSS,D1,3.4
2050,PA33K,2017-09-5,2017-09-5T7:30:24.000Z,University Town,D1,0.0
2043,PC4038K,2017-09-5,2017-09-5T7:30:27.000Z,LT29,D2,1.0
2129,PC3867R,2017-09-5,2017-09-5T7:30:27.000Z,Computer Centre,A2,2.0
2027,PC3972U,2017-09-5,2017-09-5T7:30:48.000Z,AS7,D1,3.0
2038,PC3940L,2017-09-5,2017-09-5T7:30:55.000Z,BIZ2,A1,19.82
2023,PC3983M,2017-09-5,2017-09-5T7:31:01.000Z,YIH,BTC1,38.6
2129,PC3867R,2017-09-5,2017-09-5T7:31:06.000Z,Opp YIH,A2,1.0
2027,PC3972U,2017-09-5,2017-09-5T7:31:13.000Z,LT13,D1,4.78
2079,PC3849T,2017-09-5,2017-09-5T7:31:16.000Z,Opp University Health Centre,D2,1.0
2079,PC3849T,2017-09-5,2017-09-5T7:31:23.000Z,University Town,D2,0.18
2042,PC3738E,2017-09-5,2017-09-5T7:31:25.000Z,Opp HSSML,A2,7.0
2027,PC3972U,2017-09-5,2017-09-5T7:31:32.000Z,Ventus (Opp LT13),D1,2.62
2043,PC4038K,2017-09-5,2017-09-5T7:31:34.000Z,Prince George's Park Terminal,D2,6.0
2043,PC4038K,2017-09-5,2017-09-5T7:31:35.000Z,Opp UHall,D2,3.0
2028,PA9442D,2017-09-5,2017-09-5T7:31:40.000Z,University Health Centre,C*,16.0
2129,PC3867R,2017-09-5,2017-09-5T7:31:45.000Z,Museum,A2,0.45
2050,PA33K,2017-09-5,2017-09-5T7:31:46.000Z,University Town,D1,2.75
2079,PC3849T,2017-09-5,2017-09-5T7:31:53.000Z,Museum,D2,1.98
2054,PC3989Y,2017-09-5,2017-09-5T7:31:55.000Z,PGPR,D2,7.0
2028,PA9442D,2017-09-5,2017-09-5T7:32:03.000Z,Opp University Health Centre,C*,15.88
2079,PC3849T,2017-09-5,2017-09-5T7:32:03.000Z,University Town,D2,2.93
2042,PC3738E,2017-09-5,2017-09-5T7:32:06.000Z,COM 2 (CP13),A2,1.0
2038,PC3940L,2017-09-5,2017-09-5T7:32:17.000Z,PGP Hse No. 7,A1,19.67
2050,PA33K,2017-09-5,2017-09-5T7:32:17.000Z,Museum,D1,1.82
2043,PC4038K,2017-09-5,2017-09-5T7:32:21.000Z,UHall,D2,4.0
2129,PC3867R,2017-09-5,2017-09-5T7:32:21.000Z,Museum,A2,6.27
2027,PC3972U,2017-09-5,2017-09-5T7:32:27.000Z,Central Library,D1,1.77
2023,PC3983M,2017-09-5,2017-09-5T7:32:31.000Z,Central Library,BTC1,38.0
2043,PC4038K,2017-09-5,2017-09-5T7:32:35.000Z,University Health Centre,D2,4.83
2050,PA33K,2017-09-5,2017-09-5T7:32:36.000Z,YIH,D1,2.88
2027,PC3972U,2017-09-5,2017-09-5T7:32:42.000Z,Computer Centre,D1,0.0
2042,PC3738E,2017-09-5,2017-09-5T7:32:47.000Z,Opp NUSS,A2,0.38
2028,PA9442D,2017-09-5,2017-09-5T7:32:53.000Z,Museum,C*,13.0
2038,PC3940L,2017-09-5,2017-09-5T7:32:55.000Z,Prince George's Park Terminal,A1,6.0
2129,PC3867R,2017-09-5,2017-09-5T7:32:55.000Z,Opp YIH,A2,6.22
2043,PC4038K,2017-09-5,2017-09-5T7:32:56.000Z,Opp University Health Centre,D2,3.0
2028,PA9442D,2017-09-5,2017-09-5T7:33:07.000Z,Raffles Hall,C*,12.8
2060,PC4071M,2017-09-5,2017-09-5T7:33:08.000Z,Opp HSSML,D1,6.95
2054,PC3989Y,2017-09-5,2017-09-5T7:33:15.000Z,Opp Kent Ridge MRT,D2,4.0
2042,PC3738E,2017-09-5,2017-09-5T7:33:21.000Z,Opp NUSS,A2,0.97
2027,PC3972U,2017-09-5,2017-09-5T7:33:25.000Z,Opp YIH,D1,3.0
2023,PC3983M,2017-09-5,2017-09-5T7:33:32.000Z,LT13,BTC1,39.0
2028,PA9442D,2017-09-5,2017-09-5T7:33:36.000Z,EA,C*,7.0
2060,PC4071M,2017-09-5,2017-09-5T7:33:38.000Z,COM 2 (CP13),D1,1.0
2129,PC3867R,2017-09-5,2017-09-5T7:33:41.000Z,University Health Centre,A2,7.0
2042,PC3738E,2017-09-5,2017-09-5T7:33:51.000Z,Computer Centre,A2,4.68
2042,PC3738E,2017-09-5,2017-09-5T7:33:56.000Z,COM 2 (CP13),A2,5.3
2043,PC4038K,2017-09-5,2017-09-5T7:34:01.000Z,Museum,D2,0.0
2060,PC4071M,2017-09-5,2017-09-5T7:34:11.000Z,Opp NUSS,D1,0.32
2027,PC3972U,2017-09-5,2017-09-5T7:34:12.000Z,Museum,D1,0.0
2023,PC3983M,2017-09-5,2017-09-5T7:34:13.000Z,AS7,BTC1,39.38
2043,PC4038K,2017-09-5,2017-09-5T7:34:27.000Z,Museum,D2,0.37
2050,PA33K,2017-09-5,2017-09-5T7:34:27.000Z,Central Library,D1,3.0
2129,PC3867R,2017-09-5,2017-09-5T7:34:33.000Z,Opp UHall,A2,7.0
2027,PC3972U,2017-09-5,2017-09-5T7:34:45.000Z,Museum,D1,0.0
2042,PC3738E,2017-09-5,2017-09-5T7:34:48.000Z,Opp NUSS,A2,5.0
2060,PC4071M,2017-09-5,2017-09-5T7:34:49.000Z,AS7,D1,1.0
2025,PC3957P,2017-09-5,2017-09-5T7:34:59.000Z,Kent Ridge MRT,A1,1.58
2028,PA9442D,2017-09-5,2017-09-5T7:35:01.000Z,Kent Ridge Bus Terminal,C*,10.0
2050,PA33K,2017-09-5,2017-09-5T7:35:03.000Z,Ventus (Opp LT13),D1,1.0
2043,PC4038K,2017-09-5,2017-09-5T7:35:07.000Z,University Town,D2,0.0
2060,PC4071M,2017-09-5,2017-09-5T7:35:07.000Z,Opp NUSS,D1,2.95
2129,PC3867R,2017-09-5,2017-09-5T7:35:09.000Z,Prince George's Park Terminal,A2,2.0
2027,PC3972U,2017-09-5,2017-09-5T7:35:20.000Z,University Town,D1,0.0
2043,PC4038K,2017-09-5,2017-09-5T7:35:20.000Z,Museum,D2,2.0
2023,PC3983M,2017-09-5,2017-09-5T7:35:27.000Z,BIZ2,BTC1,39.52
2043,PC4038K,2017-09-5,2017-09-5T7:35:29.000Z,University Town,D2,0.13
2027,PC3972U,2017-09-5,2017-09-5T7:35:32.000Z,Museum,D1,2.0
2060,PC4071M,2017-09-5,2017-09-5T7:35:37.000Z,COM 2 (CP13),D1,1.0
2027,PC3972U,2017-09-5,2017-09-5T7:35:38.000Z,University Town,D1,0.0
2129,PC3867R,2017-09-5,2017-09-5T7:35:47.000Z,S17,A2,7.87
2042,PC3738E,2017-09-5,2017-09-5T7:36:07.000Z,Ventus (Opp LT13),A2,5.8
2050,PA33K,2017-09-5,2017-09-5T7:36:18.000Z,LT13,D1,6.0
2054,PC3989Y,2017-09-5,2017-09-5T7:36:25.000Z,S17,D2,4.77
2129,PC3867R,2017-09-5,2017-09-5T7:36:44.000Z,Opp Kent Ridge MRT,A2,7.0
2054,PC3989Y,2017-09-5,2017-09-5T7:36:51.000Z,LT29,D2,2.9
2050,PA33K,2017-09-5,2017-09-5T7:36:57.000Z,AS7,D1,2.0
2043,PC4038K,2017-09-5,2017-09-5T7:36:58.000Z,Opp University Health Centre,D2,1.97
2043,PC4038K,2017-09-5,2017-09-5T7:37:05.000Z,University Town,D2,0.0
2027,PC3972U,2017-09-5,2017-09-5T7:37:15.000Z,University Town,D1,0.15
2043,PC4038K,2017-09-5,2017-09-5T7:37:39.000Z,Museum,D2,2.62
2031,PC3785T,2017-09-5,2017-09-5T7:37:48.000Z,Prince George's Park Terminal,A2,8.0
2043,PC4038K,2017-09-5,2017-09-5T7:37:48.000Z,University Town,D2,3.72
2023,PC3983M,2017-09-5,2017-09-5T7:37:51.000Z,PGPR,BTC1,39.7
2027,PC3972U,2017-09-5,2017-09-5T7:37:52.000Z,Museum,D1,2.7
2060,PC4071M,2017-09-5,2017-09-5T7:37:54.000Z,Ventus (Opp LT13),D1,2.0
2054,PC3989Y,2017-09-5,2017-09-5T7:37:55.000Z,Prince George's Park Terminal,D2,2.68
2054,PC3989Y,2017-09-5,2017-09-5T7:37:56.000Z,Opp UHall,D2,5.93
2027,PC3972U,2017-09-5,2017-09-5T7:38:00.000Z,University Town,D1,3.83
2027,PC3972U,2017-09-5,2017-09-5T7:38:12.000Z,YIH,D1,0.0
2031,PC3785T,2017-09-5,2017-09-5T7:38:17.000Z,PGP Hse No. 14 and 15,A2,9.0
2079,PC3849T,2017-09-5,2017-09-5T7:38:19.000Z,Kent Ridge MRT,D2,2.63
2027,PC3972U,2017-09-5,2017-09-5T7:38:31.000Z,Opp YIH,D1,0.95
2060,PC4071M,2017-09-5,2017-09-5T7:38:33.000Z,Central Library,D1,5.8
2031,PC3785T,2017-09-5,2017-09-5T7:38:34.000Z,PGP Hse No. 12,A2,8.92
2054,PC3989Y,2017-09-5,2017-09-5T7:38:34.000Z,UHall,D2,6.0
2042,PC3738E,2017-09-5,2017-09-5T7:38:36.000Z,Computer Centre,A2,2.0
2027,PC3972U,2017-09-5,2017-09-5T7:38:39.000Z,YIH,D1,0.57
2054,PC3989Y,2017-09-5,2017-09-5T7:38:47.000Z,University Health Centre,D2,5.83
2060,PC4071M,2017-09-5,2017-09-5T7:38:48.000Z,Computer Centre,D1,3.0
2043,PC4038K,2017-09-5,2017-09-5T7:39:02.000Z,Opp University Health Centre,D2,3.95
2042,PC3738E,2017-09-5,2017-09-5T7:39:10.000Z,Museum,A2,0.0
2042,PC3738E,2017-09-5,2017-09-5T7:39:11.000Z,Opp YIH,A2,0.52
2031,PC3785T,2017-09-5,2017-09-5T7:39:16.000Z,Opp HSSML,A2,8.0
2058,PC4009U,2017-09-5,2017-09-5T7:39:27.000Z,Kent Vale,C*,12.93
2079,PC3849T,2017-09-5,2017-09-5T7:39:27.000Z,PGPR,D2,2.52
2129,PC3867R,2017-09-5,2017-09-5T7:39:33.000Z,PGPR,A2,10.0
2060,PC4071M,2017-09-5,2017-09-5T7:39:35.000Z,Opp YIH,D1,1.0
2031,PC3785T,2017-09-5,2017-09-5T7:40:05.000Z,COM 2 (CP13),A2,6.6
2025,PC3957P,2017-09-5,2017-09-5T7:40:06.000Z,LT29,A1,4.42
2042,PC3738E,2017-09-5,2017-09-5T7:40:06.000Z,Opp YIH,A2,0.9
2060,PC4071M,2017-09-5,2017-09-5T7:40:11.000Z,YIH,D1,1.0
2055,PC3995D,2017-09-5,2017-09-5T7:40:12.000Z,Kent Ridge Bus Terminal,B1,39.83
2050,PA33K,2017-09-5,2017-09-5T7:40:15.000Z,COM 2 (CP13),D1,3.0
2033,PC3925G,2017-09-5,2017-09-5T7:40:19.000Z,Prince George's Park Terminal,A1,5.0
2054,PC3989Y,2017-09-5,2017-09-5T7:40:24.000Z,Museum,D2,0.0
2042,PC3738E,2017-09-5,2017-09-5T7:40:31.000Z,Museum,A2,7.0
2050,PA33K,2017-09-5,2017-09-5T7:40:34.000Z,Opp HSSML,D1,4.4
2079,PC3849T,2017-09-5,2017-09-5T7:40:36.000Z,Prince George's Park Terminal,D2,5.0
2031,PC3785T,2017-09-5,2017-09-5T7:40:39.000Z,Opp NUSS,A2,6.0
2060,PC4071M,2017-09-5,2017-09-5T7:40:41.000Z,Museum,D1,0.0
2043,PC4038K,2017-09-5,2017-09-5T7:40:48.000Z,LT29,D2,5.87
2050,PA33K,2017-09-5,2017-09-5T7:40:52.000Z,BIZ2,D1,7.0
2054,PC3989Y,2017-09-5,2017-09-5T7:40:52.000Z,Museum,D2,0.0
2027,PC3972U,2017-09-5,2017-09-5T7:40:55.000Z,Ventus (Opp LT13),D1,5.53
2042,PC3738E,2017-09-5,2017-09-5T7:41:04.000Z,Opp YIH,A2,6.0
2033,PC3925G,2017-09-5,2017-09-5T7:41:12.000Z,Kent Ridge MRT,A1,0.0
2060,PC4071M,2017-09-5,2017-09-5T7:41:13.000Z,Museum,D1,0.38
2043,PC4038K,2017-09-5,2017-09-5T7:41:36.000Z,S17,D2,6.0
2055,PC3995D,2017-09-5,2017-09-5T7:41:40.000Z,Central Library,B1,6.0
2054,PC3989Y,2017-09-5,2017-09-5T7:41:41.000Z,University Town,D2,0.0
2055,PC3995D,2017-09-5,2017-09-5T7:41:52.000Z,Computer Centre,B1,5.0
2060,PC4071M,2017-09-5,2017-09-5T7:41:52.000Z,Opp YIH,D1,3.28
2042,PC3738E,2017-09-5,2017-09-5T7:41:53.000Z,University Health Centre,A2,7.0
2054,PC3989Y,2017-09-5,2017-09-5T7:41:53.000Z,Museum,D2,2.5
2060,PC4071M,2017-09-5,2017-09-5T7:41:55.000Z,YIH,D1,3.0
2025,PC3957P,2017-09-5,2017-09-5T7:41:56.000Z,UHall,A1,4.97
2079,PC3849T,2017-09-5,2017-09-5T7:41:57.000Z,Car Park 11 (BIZ),D2,7.0
2031,PC3785T,2017-09-5,2017-09-5T7:41:59.000Z,Computer Centre,A2,4.0
2060,PC4071M,2017-09-5,2017-09-5T7:42:01.000Z,University Town,D1,0.0
2043,PC4038K,2017-09-5,2017-09-5T7:42:04.000Z,Kent Ridge MRT,D2,0.93
2060,PC4071M,2017-09-5,2017-09-5T7:42:14.000Z,Museum,D1,2.0
2055,PC3995D,2017-09-5,2017-09-5T7:42:15.000Z,Opp YIH,B1,3.0
2060,PC4071M,2017-09-5,2017-09-5T7:42:24.000Z,University Town,D1,0.0
2055,PC3995D,2017-09-5,2017-09-5T7:42:30.000Z,YIH,B1,2.95
2025,PC3957P,2017-09-5,2017-09-5T7:42:33.000Z,Opp University Health Centre,A1,4.0
2027,PC3972U,2017-09-5,2017-09-5T7:42:34.000Z,AS7,D1,1.87
2043,PC4038K,2017-09-5,2017-09-5T7:42:42.000Z,Opp Kent Ridge MRT,D2,3.0
2042,PC3738E,2017-09-5,2017-09-5T7:42:46.000Z,Opp UHall,A2,7.0
2033,PC3925G,2017-09-5,2017-09-5T7:42:54.000Z,Kent Ridge MRT,A1,1.92
2102,PC3769R,2017-09-5,2017-09-5T7:43:06.000Z,PGPR,D2,3.57
2027,PC3972U,2017-09-5,2017-09-5T7:43:11.000Z,Opp NUSS,D1,2.92
2055,PC3995D,2017-09-5,2017-09-5T7:43:24.000Z,University Town,B1,0.0
2025,PC3957P,2017-09-5,2017-09-5T7:43:34.000Z,YIH,A1,3.98
2027,PC3972U,2017-09-5,2017-09-5T7:43:37.000Z,Computer Centre,D1,2.6
2102,PC3769R,2017-09-5,2017-09-5T7:43:37.000Z,Kent Ridge MRT,D2,0.87
2027,PC3972U,2017-09-5,2017-09-5T7:43:40.000Z,COM 2 (CP13),D1,1.0
2055,PC3995D,2017-09-5,2017-09-5T7:43:44.000Z,University Town,B1,38.88
2054,PC3989Y,2017-09-5,2017-09-5T7:43:50.000Z,Opp University Health Centre,D2,1.57
2054,PC3989Y,2017-09-5,2017-09-5T7:43:58.000Z,University Town,D2,0.0
2042,PC3738E,2017-09-5,2017-09-5T7:44:05.000Z,S17,A2,7.85
2060,PC4071M,2017-09-5,2017-09-5T7:44:08.000Z,University Town,D1,0.0
2031,PC3785T,2017-09-5,2017-09-5T7:44:10.000Z,Ventus (Opp LT13),A2,7.0
2054,PC3989Y,2017-09-5,2017-09-5T7:44:29.000Z,Museum,D2,8.53
2054,PC3989Y,2017-09-5,2017-09-5T7:44:37.000Z,University Town,D2,9.92
2060,PC4071M,2017-09-5,2017-09-5T7:44:41.000Z,Museum,D1,10.2
2060,PC4071M,2017-09-5,2017-09-5T7:44:50.000Z,University Town,D1,11.8
2060,PC4071M,2017-09-5,2017-09-5T7:45:00.000Z,YIH,D1,9.35
2027,PC3972U,2017-09-5,2017-09-5T7:45:02.000Z,AS7,D1,3.0
2025,PC3957P,2017-09-5,2017-09-5T7:45:05.000Z,Central Library,A1,4.0
2060,PC4071M,2017-09-5,2017-09-5T7:45:11.000Z,Opp YIH,D1,8.8
2042,PC3738E,2017-09-5,2017-09-5T7:45:22.000Z,Opp Kent Ridge MRT,A2,4.87
2033,PC3925G,2017-09-5,2017-09-5T7:45:24.000Z,LT29,A1,8.0
2054,PC3989Y,2017-09-5,2017-09-5T7:45:31.000Z,Opp University Health Centre,D2,6.0
2054,PC3989Y,2017-09-5,2017-09-5T7:45:47.000Z,University Health Centre,D2,5.0
2038,PC3940L,2017-09-5,2017-09-5T7:45:55.000Z,Prince George's Park Terminal,A1,6.0
2060,PC4071M,2017-09-5,2017-09-5T7:46:15.000Z,Computer Centre,D1,2.78
2055,PC3995D,2017-09-5,2017-09-5T7:46:20.000Z,YIH,B1,37.0
2058,PC4009U,2017-09-5,2017-09-5T7:46:23.000Z,Raffles Hall,C*,7.98
2054,PC3989Y,2017-09-5,2017-09-5T7:46:25.000Z,UHall,D2,4.5
2055,PC3995D,2017-09-5,2017-09-5T7:46:28.000Z,Opp YIH,B1,36.0
2031,PC3785T,2017-09-5,2017-09-5T7:46:29.000Z,Computer Centre,A2,4.0
2025,PC3957P,2017-09-5,2017-09-5T7:46:31.000Z,LT13,A1,4.0
2060,PC4071M,2017-09-5,2017-09-5T7:46:42.000Z,Central Library,D1,6.72
2054,PC3989Y,2017-09-5,2017-09-5T7:46:43.000Z,Opp UHall,D2,3.0
